Run,a2_berm,a2_t,a2_$,a3_piles,a3_t,a3_$,a4_piers,a4_t,a4_$,a5_girders,a5_t,a5_$,total_t,ppl_$,mobilize_$,total_$,total_$_norm,total_t_norm,reward
0,2,46,692576,0,9,59544,2,127,2894584,0,101,889608,365,230960,34128,4801400.45,0.216,0.034,0.250
1,2,46,692576,0,9,59544,1,126,2742768,1,40,568960,323,241760,32183,4337791.1,0.319,0.238,0.557
2,0,64,1243136,0,9,59544,2,127,2894584,0,51,898416,338,263360,40954,5399994.14,0.082,0.165,0.247
3,1,34,903040,2,11,72776,1,126,2742768,0,51,898416,318,261200,45834,4924034.48,0.188,0.262,0.450
4,1,34,903040,1,20,397760,0,144,1943424,1,40,568960,316,263360,45834,4122378.48,0.367,0.272,0.639
5,2,46,692576,0,9,59544,1,126,2742768,0,51,898416,333,250400,39009,4682712.79,0.242,0.189,0.431
6,2,46,692576,1,39,387816,0,144,1943424,1,40,568960,338,233120,30238,3856133.75,0.427,0.165,0.592
7,2,46,692576,2,11,72776,1,126,2742768,1,40,568960,318,241760,32183,4351023.1,0.316,0.262,0.578
8,0,64,1243136,1,39,387816,2,127,2894584,1,40,568960,311,256880,32183,5383559.1,0.086,0.296,0.382
9,0,64,1243136,0,9,59544,1,126,2742768,1,40,568960,307,252560,32183,4899151.1,0.194,0.316,0.509
10,1,68,903040,0,9,59544,1,126,2742768,1,40,568960,323,241760,32183,4548255.1,0.272,0.238,0.510
11,2,46,692576,2,11,72776,0,72,1943424,0,101,889608,324,331320,32183,3961887.1,0.403,0.233,0.636
12,2,46,692576,2,11,72776,2,127,2894584,1,40,568960,307,243920,34128,4506944.45,0.281,0.316,0.597
13,2,46,692576,1,20,397760,1,126,2742768,1,40,568960,325,263360,39009,4704432.79,0.237,0.228,0.465
14,0,64,1243136,2,11,72776,2,127,2894584,1,40,568960,314,254720,34128,5068304.45,0.156,0.282,0.438
15,2,46,692576,0,9,59544,1,126,2742768,1,40,568960,311,241760,32183,4337791.1,0.319,0.296,0.615
16,1,68,903040,0,9,59544,2,127,2894584,0,51,898416,310,252560,40954,5049098.14,0.160,0.301,0.461
17,2,46,692576,1,20,397760,0,144,1943424,1,40,568960,338,252560,39009,3894288.79,0.418,0.165,0.583
18,0,64,1243136,1,39,387816,2,127,2894584,0,51,898416,342,265520,39009,5728480.79,0.009,0.146,0.154
19,0,64,1243136,0,9,59544,2,127,2894584,1,40,568960,310,254720,34128,5055072.45,0.159,0.301,0.460
20,1,68,903040,2,11,72776,0,144,1943424,1,40,568960,320,230960,32183,3751343.1,0.450,0.252,0.702
